ふんぷんしゅうしょ,紛々愁訴,9,
ほうらいじゃくすい,蓬莱弱水,9,
まにゅふぁくちゃー,マニュファクチャー,9,
まんぞくふまんぞく,満足・不満足,9,
みもとひきうけにん,身元引受人,9,
みょうせんじしょう,名詮自性,9,
むじょうしょうがく,無上正覚,9,
むなつきはっちょう,胸突き八丁,9,
めいもくちょうたん,明目帳胆,9,
めーどいんじゃぱん,メード・イン・ジャパン,9,
めんじゅうふくはい,面従腹背,9,
もうかんじゅうそう,盲管銃創,9,
やなぎばぼうちょう,柳刃包丁,9,
ようしゅんはくせつ,陽春白雪,9,
よねんせいだいがく,四年制大学,9,
よゆうしゃくしゃく,余裕綽々,9,
らんさいぎょくせつ,蘭摧玉折,9,
らんじゅほうしょう,藍綬褒章,9,
りくとうさんりゃく,六韜三略,9,
りゅうきんしょうど,流金焦土,9,
りゅうほうこうせい,流芳後世,9,
りゅうりゅうしんく,粒々辛苦,9,
りゅうれんこうぼう,流連荒亡,9,
りょうきんたくぼく,良禽択木,9,
りょうちりょうのう,良知良能,9,
ろうしょうふじょう,老少不定,9,
ろうにゃくなんにょ,老若男女,9,
ろんこうこうしょう,論功行賞,9,
わかりやすくいえば,分かりやすく言えば,9,
あーきてくちゃー,アーキテクチャー,8,
あくにんしょうき,悪人正機,8,
あくぼくとうせん,悪木盗泉,8,
あげぜんすえぜん,上げ膳据え膳,8,
あっこうぞうごん,悪口雑言,8,
あっとこえがでて,「あっ」と声が出て,8,
あぷりーしえーと,アプリーシエート,8,
あらっぽくいうと,荒っぽく言うと,8,
あんしんりつめい,安心立命,8,
あんちゅうひやく,暗中飛躍,8,
あんらくじょうど,安楽浄土,8,
いきんかんきょう,衣錦還郷,8,
いしょうさんたん,意匠惨憺,8,
いしょくどうげん,医食同源,8,
いたれりつくせり,至れり尽くせり,8,
いちえんきぎょう,一円起業,8,
いちがつさんがつ,１月～３月,8,
いちぎゅうめいち,一牛鳴地,8,
いちじつのちょう,一日の長,8,
いちじめいりゅう,一時名流,8,
いちだくせんきん,一諾千金,8,
いちねんいちくみ,一年一組,8,
いちひめにたろう,一姫二太郎,8,
いちもんいっとう,一問一答,8,
いちようらいふく,一陽来復,8,
いっかいいっかい,一回一回,8,
いっかくせんきん,一獲千金,8,
いっかんふうげつ,一竿風月,8,
いっこくせんきん,一刻千金,8,
いっさつたしょう,一殺多生,8,
いっしょけんめい,一所懸命,8,
いっしんいったい,一進一退,8,
いっしんどうたい,一心同体,8,
いっせいぼくたく,一世木鐸,8,
いっせきにちょう,一石二鳥,8,
いっそんいっぴん,一村一品,8,
いったいぜんたい,一体全体,8,
いっちょういっし,一張一弛,8,
いっぱつせんきん,一髪千鈞,8,
いっぴきおおかみ,一匹おおかみ,8,
いのなかのかわず,「井の中のかわず」,8,
いんかしょくぶつ,隠花植物,8,
いんしじゃきょう,淫祠邪教,8,
いんてりげんちあ,インテリゲンチア,8,
いんにんじちょう,隠忍自重,8,
うーすたーそーす,ウースターソース,8,
うえるびーいんぐ,ウエルビーイング,8,
うごしゅんじゅん,雨後春筍,8,
うちまたこうやく,内股膏薬,8,
うんがいそうてん,運外蒼天,8,
うんしゅうむさん,雲集霧散,8,
えいしょえんせつ,郢書燕説,8,
えきしゃさんゆう,益者三友,8,
えっちょうなんし,越鳥南枝,8,
えんこうきんこう,遠交近攻,8,
えんてんかつだつ,円転滑脱,8,
えんとういっかつ,鉛刀一割,8,
えんぶしゅうぶん,偃武修文,8,
えんぼくけいちん,円木警枕,8,
えんりょきんゆう,遠慮近憂,8,
おおばんぶるまい,大盤振る舞い,8,
おくじょうかおく,屋上架屋,8,
おしあいへしあい,押し合いへし合い,8,
おととしきょねん,おととし・去年,8,
おもいもよらない,思いも寄らない,8,
おりじなりてぃー,オリジナリティー,8,
おんこうとくじつ,温厚篤実,8,
かいいすいしょく,解衣推食,8,
がいかんないめい,外寛内明,8,
がいだんこうせつ,街談巷説,8,
かいろうどうけつ,偕老同穴,8,
かがくじょうたつ,下学上達,8,
